moefSNo,state,protectedAreaName,protectedAreaType,notificationStatus,notificationDate,notificationSummary,notificationPdfLink,maps,notificationUploadDate,orderNumber,wikidataId,wikidataLabel,partOf,image,iucnCategory,locatedInAdminTerritorialEntity,coordinateLatitude,coordinateLongitude,significantPlace,heritageDesignation,area,officialWebsite,pageBanner,commonsCategory,osmRelationIds,enwikiUrl,matchConfidence
6,Andhra Pradesh,Sri Lankamalleswara Wildlife Sanctuary,Wildlife Sanctuary,Draft,2015-12-07,"6. S.O. 3328(E) [07.12.2015] Draft Notification declaring Eco sensitive Zone around Sri Lankamalleswara Wildlife Sanctuary(2.91 MB), Andhra Pradesh",https://moef.gov.in/uploads/2017/06/S.O.%203328(E)%20%5B07.12.2015%5D%20Draft%20Notification%20declaring%20Eco%20sensitive%20Zone%20around%20Sri%20Lankamalleswara%20Wildlife%20Sanctuary%2C%20Andhra%20Pradesh.pdf,[],03/03/2016,S.O. 3328(E),Q19898458,Sri Lankamalleswara Wildlife Sanctuary,,,,,14.6,78.8833,Kadapa,,,,,Sri Lankamalleswara Wildlife Sanctuary,,https://en.wikipedia.org/wiki/Sri_Lankamalleswara_Wildlife_Sanctuary,exact
6,Andhra Pradesh,Sri Lankamalleswara Wildlife Sanctuary,Wildlife Sanctuary,Final,2017-04-13,"6. S.O. 1174(E) [13.04.2017] Final Notification Declaring Eco Sensitive Zone around Sri Lankamalleswara Wildlife Sanctuary(1.25 MB), Andhra Pradesh",https://moef.gov.in/uploads/2017/06/Sri%20Lankamalleswara%20Wildlife%20Sanctuary%2C%20Andhra%20Pradesh.pdf,[],01/05/2017,S.O. 1174(E),Q19898458,Sri Lankamalleswara Wildlife Sanctuary,,,,,14.6,78.8833,Kadapa,,,,,Sri Lankamalleswara Wildlife Sanctuary,,https://en.wikipedia.org/wiki/Sri_Lankamalleswara_Wildlife_Sanctuary,exact
7,Andhra Pradesh,Sri Penusila Narsimha Swamy Sanctuary,Wildlife Sanctuary,Draft,2018-01-03,"7. S.O. 36(E) [03.01.2018] Draft Notification declaring Eco Sensitive Zone around Sri Penusila Narsimha Swamy Sanctuary(2.68 MB), Andhra Pradesh.",https://moef.gov.in/uploads/2017/06/penusila.pdf,[],17/01/2018,S.O. 36(E),,,,,,,,,,,,,,,,,none
7,Andhra Pradesh,Sri Penusila,Wildlife Sanctuary,Final,2020-08-28,"7. S.O. 2936(E) [ 28.08.2020] Final Notification declaring Eco Sensitive Zone around Sri Penusila(308 KB) Wildlife Sanctuary, Andhra Pradesh",,[],31/08/2020,S.O. 2936(E),,,,,,,,,,,,,,,,,none
8,Andhra Pradesh,Sri Venkateshwara National Park Sanctuary,National Park,Draft,2019-01-24,"8. S.O. 377(E) [24.01.2019] Draft Notification declaring Eco Sensitive Zone around Sri Venkateshwara National Park & Sanctuary,(3.00 MB), Andhra Pradesh.",https://moef.gov.in/uploads/2017/06/sri-venkateshwar-1.pdf,[],04/02/2019,S.O. 377(E),,,,,,,,,,,,,,,,,none
8,Andhra Pradesh,Sri Venkateshwara National Park Sanctuary,National Park,Final,2021-06-18,"8. S.O. 2409(E) [ 18.06.2021] Final Notification declaring Eco Sensitive Zone around Sri Venkateshwara NP & Sanctuary(3.00 MB), Andhra Pradesh.",https://moef.gov.in/uploads/2021/06/sri-venkateshwara.pdf,[],22/06/2021,S.O. 2409(E),,,,,,,,,,,,,,,,,none
9,Andhra Pradesh,Krishna Wildlife Sanctuary,Wildlife Sanctuary,Draft,2019-11-29,"9. S.O. 4322(E) [29.11.2019] Draft Notification declaring Eco Sensitive Zone around Krishna Wildlife Sanctuary ,(296 KB). Andhra Pradesh",https://moef.gov.in/uploads/2019/10/krishna.pdf,[],04/12/2019,S.O. 4322(E),Q6437498,Krishna Wildlife Sanctuary,,http://commons.wikimedia.org/wiki/Special:FilePath/Mangroves%20W%20IMG%206896.jpg,IUCN category IV: Habitat/Species Management Area,,15.7,80.7,Machilipatnam,,,,,Krishna Wildlife Sanctuary,,https://en.wikipedia.org/wiki/Krishna_Wildlife_Sanctuary,exact
,Andhra Pradesh,Krishna Wildlife Sanctuary,Wildlife Sanctuary,Final,2020-08-05,"S.O. 2632(E) [ 05.08.2020] Final Notification declaring Eco Sensitive Zone around Krishna Wildlife Sanctuary(56 KB)., Andhra Pradesh",https://moef.gov.in/uploads/2019/10/krishna-1.pdf,[],11/08/2020,S.O. 2632(E),Q6437498,Krishna Wildlife Sanctuary,,http://commons.wikimedia.org/wiki/Special:FilePath/Mangroves%20W%20IMG%206896.jpg,IUCN category IV: Habitat/Species Management Area,,15.7,80.7,Machilipatnam,,,,,Krishna Wildlife Sanctuary,,https://en.wikipedia.org/wiki/Krishna_Wildlife_Sanctuary,exact
10,Andhra Pradesh,Coringa Wildlife Santuary,Wildlife Sanctuary,Draft,2020-01-10,"10. .S.O. 173(E) [10.01.2020] Draft Notification declaring Eco Sensitive Zone around Coringa Wildlife Santuary(526 KB), Andhra Pradesh.",https://moef.gov.in/uploads/2019/10/coringa-1.pdf,[],21/01/2020,S.O. 173(E),,,,,,,,,,,,,,,,,none
9,Andhra Pradesh,Coringa Wildlife Sanctuary,Wildlife Sanctuary,Final,2021-09-21,"9. S.O.3922(E) [21.09.2021] Final Notification declaring Eco Sensitive Zone around Coringa Wildlife Sanctuary(3.00 MB), Andhra Pradesh.",https://moef.gov.in/uploads/2020/08/coringa.pdf,[],27/09/2021,S.O.3922(E),Q5170559,Coringa Wildlife Sanctuary,,http://commons.wikimedia.org/wiki/Special:FilePath/Coringa%20Wildlife%20Sanctuary.JPG,IUCN category IV: Habitat/Species Management Area,Andhra Pradesh,16.83138889,82.33666667,Kakinada,,,,,Coringa Wildlife Sanctuary,,https://en.wikipedia.org/wiki/Coringa_Wildlife_Sanctuary,exact
11,Andhra Pradesh,Nagarjunasagar Srisailam Tiger Reserve Wildlife Santuary,Tiger Reserve,Draft,2020-02-11,"11. S.O. 653(E) [11.02.2020] Draft Notification declaring Eco Sensitive Zone around Nagarjunasagar Srisailam Tiger Reserve Wildlife Santuary(789 KB), Andhra Pradesh.",https://moef.gov.in/uploads/2019/10/nagarjunasagar.pdf,[],17/02/2020,S.O. 653(E),,,,,,,,,,,,,,,,,none
10,Andhra Pradesh,Nagarjunasagar Srisailam Tiger Reserve Wildlife Santuary,Tiger Reserve,Final,2021-10-18,"10. S.O.4373(E) [18.10.2021] Final Notification declaring Eco Sensitive Zone around Nagarjunasagar Srisailam Tiger Reserve Wildlife Santuary(789 KB), Andhra Pradesh.",https://moef.gov.in/uploads/2020/08/Nagarjunasagar.pdf,[],28/10/2021,S.O.4373(E),,,,,,,,,,,,,,,,,none
12,Andhra Pradesh,Koundinya Wildlife Sanctuary,Wildlife Sanctuary,Draft,2022-05-04,"12. S.O. 2077(E) [04.05.2022] Draft Notification declaring Eco Sensitive Zone around Koundinya Wildlife Sanctuary, in the state of Andhra Pradesh.(789 KB), Andhra Pradesh.",https://moef.gov.in/uploads/2021/08/Published-Draft-Notification-S-O-2077.pdf,[],04/05/2022,S.O. 2077(E),Q6434637,Koundinya Wildlife Sanctuary,,http://commons.wikimedia.org/wiki/Special:FilePath/Andhra%20Pradesh%20-%20Landscapes%20from%20Andhra%20Pradesh%2C%20views%20from%20Indias%20South%20Central%20Railway%20%2877%29.JPG,IUCN category IV: Habitat/Species Management Area,,13.025,78.645,Chittorgarh,,,,,Koundinya Wildlife Sanctuary,,https://en.wikipedia.org/wiki/Koundinya_Wildlife_Sanctuary,exact
13,Andaman and Nicobar,Union Territory of Andaman and Nicobar Islands,National Park,Draft,2016-04-26,13. S.O 1498(E) [26.04.2016] Draft Notification declaring Eco sensitive Zone around the Union Territory of Andaman and Nicobar Islands (995.79 KB) (i). Maps of 4 National Parks of the 97 Island PAs of A&N Islands Rani Jhansi NP 2.Buttons NP (ii).Maps of 93 Wildlife Sanctuaries of the 97 Island PAs of A&N Islands Andman Group of Island PAs Nicobar Group of Island PAs (iii).Individual maps of 93 WLS of the 97 Island PAs of A&N Islands 1. Arial 2. Bamboo 3. Barren 4. Batti Malv 5. Belle 6.Bennette 7. Bingham 8. Blister 9. Bluff 10. Bondoville 11. Brush 12. Buchanan 13. Channel 14. Cinque Island 15. Clyde 16. Cone 17. Curlew Bp 18. Curlew 19. Defence 20. Dot 21. Dotrell 22. Duncan 23. East 24. Egg 25. Entrance26. Flat 27. Gander 28. Goose 29. Gurjan 30. Hump 31. Inglis 32. Interview 33. James 34. Jungle 35. Kwang Tung36. Kyd 37. Landfall 38. Latouche 39. Mangrove 40. Mask41. Mayo 42. Megapode 43.Montgomery 44.Narcondam45. North Brother 46.North Reef 47.North 48.Oliver49.Orchid 50.Ox 51.Oyester I 52.Oyester II 53.Paget54.Parkinson 55.Passage 56.Petric 57.Pitman 58.Peacock59.Point 60.Potanma 61.Ranger 62.Reef 63.Roper64.Ross 65.Rowe 66.Sandy 67.Sea Serpent 68.Shark69.Shearme 70.Sir Hugh Rose 71.Sisters 72.Snake Island73. Snake-I 74.South Brother 75.South Reef 76.South Sentinel 77.Spike II 78.Spike-I 79.Stoat 80.Surat81.Swamp 82.Table Dalgarno 83.Table(Excelsior)84.Talabaicha 85.Temple 86.Tillongchong 87.Tree 88.Trilby89.Tuft 90.Turtle 91.West 92.Wharf 93.White Cliff,https://moef.gov.in/uploads/2019/10/Andaman-and-Nicobar-Islands.pdf,"[{""title"":""Rani Jhansi NP"",""link"":""https://moef.gov.in/uploads/2017/06/Rani%20jhansi.jpg""},{""title"":""Buttons NP"",""link"":""https://moef.gov.in/uploads/2017/06/Buttons.jpg""},{""title"":""Andman Group of Island PAs"",""link"":""https://moef.gov.in/uploads/2017/06/Andman%20grp%20of%20island.jpg""},{""title"":""Nicobar Group of Island PAs"",""link"":""https://moef.gov.in/uploads/2017/06/Nicobar%20grp%20of%20island.jpg""},{""title"":""Arial"",""link"":""https://moef.gov.in/uploads/2017/06/1.%20ARIAL_0.jpg""},{""title"":""Bamboo"",""link"":""https://moef.gov.in/uploads/2017/06/2.%20BAMBOO.jpg""},{""title"":""Barren"",""link"":""https://moef.gov.in/uploads/2017/06/3.%20BARREN.jpg""},{""title"":""Batti Malv"",""link"":""https://moef.gov.in/uploads/2017/06/4.%20BATTI%20MALV.jpg""},{""title"":""Belle"",""link"":""https://moef.gov.in/uploads/2017/06/5.%20BELLE.jpg""},{""title"":""Bennette"",""link"":""https://moef.gov.in/uploads/2017/06/6.%20BENNETTE_0.jpg""},{""title"":""Bingham"",""link"":""https://moef.gov.in/uploads/2017/06/7.%20BINGHAM.jpg""},{""title"":""Blister"",""link"":""https://moef.gov.in/uploads/2017/06/8.%20BLISTER.jpg""},{""title"":""Bluff"",""link"":""https://moef.gov.in/uploads/2017/06/9.%20BLUFF.jpg""},{""title"":""Bondoville"",""link"":""https://moef.gov.in/uploads/2017/06/10.%20BONDOVILLE.jpg""},{""title"":""Brush"",""link"":""https://moef.gov.in/uploads/2017/06/11.%20BRUSH.jpg""},{""title"":""Buchanan"",""link"":""https://moef.gov.in/uploads/2017/06/12.%20BUCHANAN.jpg""},{""title"":""Channel"",""link"":""https://moef.gov.in/uploads/2017/06/13.%20CHANNEL.jpg""},{""title"":""Cinque Island"",""link"":""https://moef.gov.in/uploads/2017/06/14.%20CINQUE%20ISLAND.jpg""},{""title"":""Clyde"",""link"":""https://moef.gov.in/uploads/2017/06/15.%20CLYDE.jpg""},{""title"":""Cone"",""link"":""https://moef.gov.in/uploads/2017/06/16.%20CONE.jpg""},{""title"":""Curlew Bp"",""link"":""https://moef.gov.in/uploads/2017/06/17.%20CURLEW%20BP.jpg""},{""title"":""Curlew"",""link"":""https://moef.gov.in/uploads/2017/06/18.%20CURLEW.jpg""},{""title"":""Defence"",""link"":""https://moef.gov.in/uploads/2017/06/19.%20DEFENCE.jpg""},{""title"":""Dot"",""link"":""https://moef.gov.in/uploads/2017/06/20.%20DOT.jpg""},{""title"":""Dotrell"",""link"":""https://moef.gov.in/uploads/2017/06/21.%20DOTRELL.jpg""},{""title"":""Duncan"",""link"":""https://moef.gov.in/uploads/2017/06/22.%20DUNCAN.jpg""},{""title"":""East"",""link"":""https://moef.gov.in/uploads/2017/06/23.%20EAST.jpg""},{""title"":""Egg"",""link"":""https://moef.gov.in/uploads/2017/06/24.%20EGG.jpg""},{""title"":""Entrance"",""link"":""https://moef.gov.in/uploads/2017/06/25.%20ENTRANCE.jpg""},{""title"":""Flat"",""link"":""https://moef.gov.in/uploads/2017/06/26.%20FLAT.jpg""},{""title"":""Gander"",""link"":""https://moef.gov.in/uploads/2017/06/27.%20GANDER.jpg""},{""title"":""Goose"",""link"":""https://moef.gov.in/uploads/2017/06/28.%20GOOSE.jpg""},{""title"":""Gurjan"",""link"":""https://moef.gov.in/uploads/2017/06/29.%20GURJAN.jpg""},{""title"":""Hump"",""link"":""https://moef.gov.in/uploads/2017/06/30.%20HUMP.jpg""},{""title"":""Inglis"",""link"":""https://moef.gov.in/uploads/2017/06/31.%20INGLIS.jpg""},{""title"":""Interview"",""link"":""https://moef.gov.in/uploads/2017/06/32.%20INTERVIEW.jpg""},{""title"":""James"",""link"":""https://moef.gov.in/uploads/2017/06/33.%20JAMES.jpg""},{""title"":""Jungle"",""link"":""https://moef.gov.in/uploads/2017/06/34.%20JUNGLE.jpg""},{""title"":""Kwang Tung"",""link"":""https://moef.gov.in/uploads/2017/06/35.%20KWANG%20TUNG.jpg""},{""title"":""Kyd"",""link"":""https://moef.gov.in/uploads/2017/06/36.%20KYD_0.jpg""},{""title"":""Landfall"",""link"":""https://moef.gov.in/uploads/2017/06/37.%20LANDFALL.jpg""},{""title"":""Latouche"",""link"":""https://moef.gov.in/uploads/2017/06/38.%20LATOUCHE.jpg""},{""title"":""Mangrove"",""link"":""https://moef.gov.in/uploads/2017/06/39.%20MANGROVE.jpg""},{""title"":""Mask"",""link"":""https://moef.gov.in/uploads/2017/06/40.%20MASK.jpg""},{""title"":""Mayo"",""link"":""https://moef.gov.in/uploads/2017/06/41.%20MAYO.jpg""},{""title"":""Megapode"",""link"":""https://moef.gov.in/uploads/2017/06/42.%20MEGAPODE.jpg""},{""title"":""Montgomery"",""link"":""https://moef.gov.in/uploads/2017/06/43.MONTGOMERY.jpg""},{""title"":""Narcondam"",""link"":""https://moef.gov.in/uploads/2017/06/44.NARCONDAM.jpg""},{""title"":""North Brother"",""link"":""https://moef.gov.in/uploads/2017/06/45.%20NORTH%20BROTHER.jpg""},{""title"":""North Reef"",""link"":""https://moef.gov.in/uploads/2017/06/46.NORTH%20REEF.jpg""},{""title"":""North"",""link"":""https://moef.gov.in/uploads/2017/06/47.NORTH_.jpg""},{""title"":""Oliver"",""link"":""https://moef.gov.in/uploads/2017/06/48.OLIVER.jpg""},{""title"":""Orchid"",""link"":""https://moef.gov.in/uploads/2017/06/49.ORCHID.jpg""},{""title"":""Ox"",""link"":""https://moef.gov.in/uploads/2017/06/50.OX_.jpg""},{""title"":""Oyester I"",""link"":""https://moef.gov.in/uploads/2017/06/51.OYESTER%20I.jpg""},{""title"":""Oyester II"",""link"":""https://moef.gov.in/uploads/2017/06/52.OYESTER%20II.jpg""},{""title"":""Paget"",""link"":""https://moef.gov.in/uploads/2017/06/53.PAGET_.jpg""},{""title"":""Parkinson"",""link"":""https://moef.gov.in/uploads/2017/06/54.PARKINSON.jpg""},{""title"":""Passage"",""link"":""https://moef.gov.in/uploads/2017/06/55.PASSAGE.jpg""},{""title"":""Petric"",""link"":""https://moef.gov.in/uploads/2017/06/56.PETRIC.jpg""},{""title"":""Pitman"",""link"":""https://moef.gov.in/uploads/2017/06/57.PITMAN.jpg""},{""title"":""Peacock"",""link"":""https://moef.gov.in/uploads/2017/06/58.PEACOCK.jpg""},{""title"":""Point"",""link"":""https://moef.gov.in/uploads/2017/06/59.POINT_.jpg""},{""title"":""Potanma"",""link"":""https://moef.gov.in/uploads/2017/06/60.POTANMA.jpg""},{""title"":""Ranger"",""link"":""https://moef.gov.in/uploads/2017/06/61.RANGER.jpg""},{""title"":""Reef"",""link"":""https://moef.gov.in/uploads/2017/06/62.REEF_.jpg""},{""title"":""Roper"",""link"":""https://moef.gov.in/uploads/2017/06/63.ROPER_.jpg""},{""title"":""Ross"",""link"":""https://moef.gov.in/uploads/2017/06/64.ROSS_.jpg""},{""title"":""Rowe"",""link"":""https://moef.gov.in/uploads/2017/06/65.ROWE_.jpg""},{""title"":""Sandy"",""link"":""https://moef.gov.in/uploads/2017/06/66.SANDY_.jpg""},{""title"":""Sea Serpent"",""link"":""https://moef.gov.in/uploads/2017/06/67.SEA%20SERPENT.jpg""},{""title"":""Shark"",""link"":""https://moef.gov.in/uploads/2017/06/68.SHARK_.jpg""},{""title"":""Shearme"",""link"":""https://moef.gov.in/uploads/2017/06/69.SHEARME.jpg""},{""title"":""Sir Hugh Rose"",""link"":""https://moef.gov.in/uploads/2017/06/70.SIR%20HUGH%20ROSE.jpg""},{""title"":""Sisters"",""link"":""https://moef.gov.in/uploads/2017/06/71.SISTERS.jpg""},{""title"":""Snake Island"",""link"":""https://moef.gov.in/uploads/2017/06/72.SNAKE%20ISLAND.jpg""},{""title"":""Snake-I"",""link"":""https://moef.gov.in/uploads/2017/06/73.%20SNAKE-1.jpg""},{""title"":""South Brother"",""link"":""https://moef.gov.in/uploads/2017/06/74.SOUTH%20BROTHER.jpg""},{""title"":""South Reef"",""link"":""https://moef.gov.in/uploads/2017/06/75.SOUTH%20REEF.jpg""},{""title"":""South Sentinel"",""link"":""https://moef.gov.in/uploads/2017/06/76.SOUTH%20SENTINEL.jpg""},{""title"":""Spike II"",""link"":""https://moef.gov.in/uploads/2017/06/77.SPIKE%20II.jpg""},{""title"":""Spike-I"",""link"":""https://moef.gov.in/uploads/2017/06/78.SPIKE-1.jpg""},{""title"":""Stoat"",""link"":""https://moef.gov.in/uploads/2017/06/79.STOAT_.jpg""},{""title"":""Surat"",""link"":""https://moef.gov.in/uploads/2017/06/80.SURAT_.jpg""},{""title"":""Swamp"",""link"":""https://moef.gov.in/uploads/2017/06/81.SWAMP_.jpg""},{""title"":""Table Dalgarno"",""link"":""https://moef.gov.in/uploads/2017/06/82.TABLE%20DALGARNO.jpg""},{""title"":""Table(Excelsior)"",""link"":""https://moef.gov.in/uploads/2017/06/83.TABLE(EXCELSIOR).jpg""},{""title"":""Talabaicha"",""link"":""https://moef.gov.in/uploads/2017/06/84.TALABAICHA.jpg""},{""title"":""Temple"",""link"":""https://moef.gov.in/uploads/2017/06/85.TEMPLE.jpg""},{""title"":""Tillongchong"",""link"":""https://moef.gov.in/uploads/2017/06/86.TILLONGCHONG.jpg""},{""title"":""Tree"",""link"":""https://moef.gov.in/uploads/2017/06/87.TREE_.jpg""},{""title"":""Trilby"",""link"":""https://moef.gov.in/uploads/2017/06/88.TRILBY.jpg""},{""title"":""Tuft"",""link"":""https://moef.gov.in/uploads/2017/06/89.TUFT_.jpg""},{""title"":""Turtle"",""link"":""https://moef.gov.in/uploads/2017/06/90.TURTLE.jpg""},{""title"":""West"",""link"":""https://moef.gov.in/uploads/2017/06/91.WEST_.jpg""},{""title"":""Wharf"",""link"":""https://moef.gov.in/uploads/2017/06/92.WHARF_.jpg""},{""title"":""White Cliff"",""link"":""https://moef.gov.in/uploads/2017/06/93.WHITE%20CLIFF.jpg""}]",27/04/2016,S.O 1498(E),,,,,,,,,,,,,,,,,none
11,Andaman and Nicobar,Areas in the Union Territory of Andaman and Nicobar Island,,Final,2016-09-30,11. S.O. 3099(E) [30.09.2016] Final Notification declaring Eco Sensitive Zone around 97 Protected Areas in the Union Territory of Andaman and Nicobar Island(1.78 MB),https://moef.gov.in/uploads/2019/08/Andaman-and-Nicobar-Islands-Final-notification.pdf,[],05/10/2016,S.O. 3099(E),,,,,,,,,,,,,,,,,none
